      1024,        8,    29.4118,  21.39%
      1024,       32,    28.5714,  22.56%
      1024,      128,    29.4118,  20.41%
      4096,        8,   114.2857,  21.78%
      4096,       32,   117.6471,  22.66%
      4096,      128,   125.0000,  22.36%
     16384,        8,   421.0527,  22.47%
     16384,       32,   484.8485,  22.73%
     16384,      128,   484.8485,  23.14%
     65536,        8,  1386.5945,  22.27%
     65536,       32,  1696.7689,  22.36%
     65536,      128,  1765.5173,  22.60%
    262144,        8,  2823.8539,  22.41%
    262144,       32,  4804.6922,  22.49%
    262144,      128,  5949.1648,  22.54%
   1048576,        8,  4059.9679,  22.46%
   1048576,       32, 10445.6490,  22.49%
   1048576,      128, 12393.3429,  22.51%
   2097152,        8,  4402.5258,  22.51%
   2097152,       32, 12946.6617,  22.49%
   2097152,      128, 16834.3177,  22.52%
   4194304,        8,  4553.9572,  22.49%
   4194304,       32, 14916.5820,  22.52%
   4194304,      128, 20299.2100,  22.47%
