    1024,    8,        128,      0.011
    1024,   16,         64,      0.014
    1024,   32,         32,      0.019
    1024,   64,         16,      0.010
    1024,  128,          8,      0.013
    1024,  256,          4,      0.016
    1024,  512,          2,      0.013
    2048,    8,        256,      0.029
    2048,   16,        128,      0.024
    2048,   32,         64,      0.025
    2048,   64,         32,      0.038
    2048,  128,         16,      0.022
    2048,  256,          8,      0.036
    2048,  512,          4,      0.031
    4096,    8,        512,      0.053
    4096,   16,        256,      0.036
    4096,   32,        128,      0.061
    4096,   64,         64,      0.055
    4096,  128,         32,      0.054
    4096,  256,         16,      0.048
    4096,  512,          8,      0.058
    8192,    8,       1024,      0.100
    8192,   16,        512,      0.097
    8192,   32,        256,      0.104
    8192,   64,        128,      0.101
    8192,  128,         64,      0.114
    8192,  256,         32,      0.103
    8192,  512,         16,      0.066
   16384,    8,       2048,      0.182
   16384,   16,       1024,      0.221
   16384,   32,        512,      0.175
   16384,   64,        256,      0.195
   16384,  128,        128,      0.224
   16384,  256,         64,      0.226
   16384,  512,         32,      0.220
   32768,    8,       4096,      0.360
   32768,   16,       2048,      0.406
   32768,   32,       1024,      0.452
   32768,   64,        512,      0.487
   32768,  128,        256,      0.412
   32768,  256,        128,      0.436
   32768,  512,         64,      0.480
   65536,    8,       8192,      0.850
   65536,   16,       4096,      0.755
   65536,   32,       2048,      0.704
   65536,   64,       1024,      0.914
   65536,  128,        512,      0.897
   65536,  256,        256,      0.630
   65536,  512,        128,      0.809
  131072,    8,      16384,      1.156
  131072,   16,       8192,      1.517
  131072,   32,       4096,      1.522
  131072,   64,       2048,      1.248
  131072,  128,       1024,      2.268
  131072,  256,        512,      1.865
  131072,  512,        256,      1.635
  262144,    8,      32768,      1.078
  262144,   16,      16384,      0.783
  262144,   32,       8192,      0.831
  262144,   64,       4096,      0.953
  262144,  128,       2048,      0.879
  262144,  256,       1024,      1.059
  262144,  512,        512,      0.950
  524288,    8,      65536,      1.117
  524288,   16,      32768,      1.552
  524288,   32,      16384,      1.705
  524288,   64,       8192,      2.043
  524288,  128,       4096,      1.960
  524288,  256,       2048,      1.847
  524288,  512,       1024,      1.689
 1048576,    8,     131072,      1.712
 1048576,   16,      65536,      2.439
 1048576,   32,      32768,      3.107
 1048576,   64,      16384,      2.678
 1048576,  128,       8192,      3.285
 1048576,  256,       4096,      3.262
 1048576,  512,       2048,      3.474
 2097152,    8,     262144,      1.963
 2097152,   16,     131072,      3.079
 2097152,   32,      65536,      4.439
 2097152,   64,      32768,      4.628
 2097152,  128,      16384,      4.789
 2097152,  256,       8192,      4.969
 2097152,  512,       4096,      4.612
 4194304,    8,     524288,      2.254
 4194304,   16,     262144,      4.011
 4194304,   32,     131072,      6.849
 4194304,   64,      65536,      7.583
 4194304,  128,      32768,      6.417
 4194304,  256,      16384,      8.011
 4194304,  512,       8192,      7.592
 8388608,    8,    1048576,      2.630
 8388608,   16,     524288,      4.426
 8388608,   32,     262144,      7.168
 8388608,   64,     131072,      9.450
 8388608,  128,      65536,     10.261
 8388608,  256,      32768,      9.816
 8388608,  512,      16384,      8.937
